B3,B2,B1,B0,Number Ways Achieve Max Districts (12)
12,18,14,4,3448959008241091703694336000000
12,19,12,5,2585811416183298821726208000000
12,20,10,6,2027040299360395499980800000000
12,21,8,7,1694593234229725497507840000000
12,22,6,8,1543101803578257884881920000000
12,23,4,9,1569729124406643386554368000000
12,24,2,10,1837285137158599615398912000000
12,25,0,11,2267423836880984990208000000000
13,12,23,0,5227167751956297397426176000000
13,13,21,1,5546140612487574126483456000000
13,14,19,2,4756303053076793654532096000000
13,15,17,3,3697329644371722978178560000000
13,16,15,4,2766390683694891498685440000000
13,17,13,5,2069271201369881768523264000000
13,18,11,6,1591236145513772365031424000000
13,19,9,7,1288436902485648923943936000000
13,20,7,8,1125321305695166768348160000000
13,21,5,9,1091398954949582882803200000000
13,22,3,10,1227191121454706629917696000000
13,23,1,11,1744572695828354895799296000000
14,10,24,0,1650684553249357072871424000000
14,11,22,1,3034229335803769885157376000000
14,12,20,2,3296052892156526200258560000000
14,13,18,3,2870111203756920782410752000000
14,14,16,4,2256439243185265851288576000000
14,15,14,5,1705647037748275780494336000000
14,16,12,6,1290293637352182386187264000000
14,17,10,7,1006423060265834629017600000000
14,18,8,8,830829009272011975120896000000
14,19,6,9,746082353704785531033600000000
14,20,4,10,755256275532294923971584000000
14,21,2,11,917711500820194089225216000000
14,22,0,12,1674607517789202827550720000000
15,9,23,1,1031677845780848170544640000000
15,10,21,2,1927429756676209098593280000000
15,11,19,3,2110347229050679073495040000000
15,12,17,4,1841288824608178261155840000000
15,13,15,5,1445813486569186128313920000000
15,14,13,6,1089958097066832554520960000000
15,15,11,7,821976128576233818707520000000
15,16,9,8,639176395505685905387520000000
15,17,7,9,525952554341845231560960000000
15,18,5,10,469959661535278735941120000000
15,19,3,11,469915374889827324057600000000
15,20,1,12,546810618053617249812480000000
16,8,22,2,717688936195372640378880000000
16,9,20,3,1335957760017360326246400000000
16,10,18,4,1448786505967418909491200000000
16,11,16,5,1246383043189034949918720000000
16,12,14,6,961845955181113518996480000000
16,13,12,7,710518225440190388981760000000
16,14,10,8,523009241520400814699520000000
16,15,8,9,394297119001014459310080000000
16,16,6,10,310170038081549936209920000000
16,17,4,11,255817833007540233830400000000
16,18,2,12,208651420046775003217920000000
17,7,21,3,554577814332787949383680000000
17,8,19,4,1007042888248745101737984000000
17,9,17,5,1060168693910254167343104000000
17,10,15,6,881690333187031867699200000000
17,11,13,7,654735154254242988326400000000
17,12,11,8,462316014288407252413440000000
17,13,9,9,321553977072585939601920000000
17,14,7,10,223869219867889386126336000000
17,15,5,11,154140237271144847923200000000
17,16,3,12,93533395193381897994240000000
18,6,20,4,475352412285246813757440000000
18,7,18,5,822276278093426944499712000000
18,8,16,6,820477558955092677230592000000
18,9,14,7,643306449161195130415104000000
18,10,12,8,446687335076911061253120000000
18,11,10,9,290606346940599607357440000000
18,12,8,10,180889615704877041650688000000
18,13,6,11,105494877463304775333888000000
18,14,4,12,49644648218025776627712000000
19,5,19,5,451584791670984473069568000000
19,6,17,6,723592005367542372052992000000
19,7,15,7,664224735140414324997120000000
19,8,13,8,474938161817024376446976000000
19,9,11,9,295869932675520342467328000000
19,10,9,10,167098192092462489610752000000
19,11,7,11,83818005796199503116288000000
19,12,5,12,31546766426170225950720000000
20,4,18,6,475352412285246813757440000000
20,5,16,7,681442020225909375713280000000
20,6,14,8,553369583800472507228160000000
20,7,12,9,344285954046215085864960000000
20,8,10,10,180287368148780316103680000000
20,9,8,11,79066074944378659737600000000
20,10,6,12,24377046783858810961920000000
21,3,17,7,554577814332787949383680000000
21,4,15,8,679629674427436212480000000000
21,5,13,9,462148178610656624486400000000
21,6,11,10,232703872798094471854080000000
21,7,9,11,90965817961826077670400000000
21,8,7,12,23421084164883955630080000000
22,2,16,8,717688936195372640378880000000
22,3,14,9,705727453925449763039232000000
22,4,12,10,369447686813149090578432000000
22,5,10,11,132357671637577626240000000000
22,6,8,12,28917869223989373788160000000
23,1,15,9,1031677845780848170544640000000
23,2,13,10,740187914750703766803456000000
23,3,11,11,257310616155679185555456000000
23,4,9,12,48371708520127679791104000000
24,0,14,10,1650684553249357072871424000000
24,1,12,11,737668554931947116814336000000
24,2,10,12,120929271300319199477760000000
25,0,11,12,604646356501595997388800000000
