B3,B2,B1,B0,Max Districts (12) Achievable?
19,12,5,12,True
19,13,3,13,False
19,14,1,14,False
20,0,26,2,False
20,1,24,3,False
20,2,22,4,False
20,3,20,5,False
20,4,18,6,True
20,5,16,7,True
20,6,14,8,True
20,7,12,9,True
20,8,10,10,True
20,9,8,11,True
20,10,6,12,True
20,11,4,13,False
20,12,2,14,False
20,13,0,15,False
21,0,23,4,False
21,1,21,5,False
21,2,19,6,False
21,3,17,7,True
21,4,15,8,True
21,5,13,9,True
21,6,11,10,True
21,7,9,11,True
21,8,7,12,True
21,9,5,13,False
21,10,3,14,False
21,11,1,15,False
22,0,20,6,False
22,1,18,7,False
22,2,16,8,True
22,3,14,9,True
22,4,12,10,True
22,5,10,11,True
22,6,8,12,True
22,7,6,13,False
22,8,4,14,False
22,9,2,15,False
22,10,0,16,False
23,0,17,8,False
23,1,15,9,True
23,2,13,10,True
23,3,11,11,True
23,4,9,12,True
23,5,7,13,False
23,6,5,14,False
23,7,3,15,False
23,8,1,16,False
24,0,14,10,True
24,1,12,11,True
24,2,10,12,True
24,3,8,13,False
24,4,6,14,False
24,5,4,15,False
24,6,2,16,False
24,7,0,17,False
25,0,11,12,True
25,1,9,13,False
25,2,7,14,False
25,3,5,15,False
25,4,3,16,False
25,5,1,17,False
26,0,8,14,False
26,1,6,15,False
26,2,4,16,False
26,3,2,17,False
26,4,0,18,False
27,0,5,16,False
27,1,3,17,False
27,2,1,18,False
28,0,2,18,False
28,1,0,19,False
